 3.03 OBSERVATION DATA M: Mixed RINEX VERSION / TYPE
RTKCONV 2.4.3 b33 20191125 135756 UTC PGM / RUN BY / DATE 
log: C:\Users\henri\Nextcloud\M2\Projet S1\data_blox\very COMMENT 
format: u-blox COMMENT 
 MARKERNAME 
 MARKERNUMBER
 MARKERTYPE 
 OBSERVER/ AGENCY 
 REC # / TYPE / VERS 
 ANT # / TYPE 
 4063320.4876 244285.1881 4893859.0427 APPROX POSITION XYZ 
 0.0000 0.0000 0.0000 ANTENNA: DELTA H/E/N
G4 C1C L1C D1C S1C SYS / # / OBS TYPES 
R4 C1C L1C D1C S1C SYS / # / OBS TYPES 
E 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
J 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
S 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
C 4 C2I L2I D2I S2I SYS / # / OBS TYPES 
 2019 11 25 12 24 55.9920000 GPS TIME OF FIRST OBS 
 2019 11 25 13 3 20.9930000 GPS TIME OF LAST OBS 
GSYS / PHASE SHIFT 
RSYS / PHASE SHIFT 
E SYS / PHASE SHIFT 
J SYS / PHASE SHIFT 
S SYS / PHASE SHIFT 
C SYS / PHASE SHIFT 
 0 GLONASS SLOT / FRQ #
 C1C 0.000 C1P 0.000 C2C 0.000 C2P 0.000 GLONASS COD/PHS/BIS 
 END OF HEADER
> 2019 11 25 12 24 55.9920000 0 20 
G9 18480466.563 97115518.392 -2370.331 48.000 
G2 19623592.216 103122685.308 -623.500 45.000 
G7 18907088.474 99357417.364 1065.498 49.000 
R18 19987257.586 106693242.040 -4398.487 47.000 
G5 20691315.932 108733646.889 2679.637 42.000 
R19 18821950.878 100684706.646 -1323.213 37.000 
G6 19685752.169 103449316.193 -3372.022 48.000 
R3 16999845.201 91001467.197 42.027 49.000 
G4 19027566.051 99990528.214 -2826.178 45.000 
G23 20567885.237 108084943.117 -3222.639 44.000 
R10 21137642.035 3 -4293.604 16.000 
R11 20984834.624 112136330.8423 -4138.035 33.000 
R2 18514279.445 98795659.315 -3140.015 47.000 
G30 20387543.431 107137257.058 2801.666 47.000 
R13 18792105.272 100348733.349 2958.641 41.000 
R20 21148922.865 3 2544.812 19.000 
G16 21640376.544 113720960.209 -594.484 30.000 
R12 18186940.188 97151279.532 -1102.339 48.000 
G29 22367499.956 117542024.480 -332.012 42.000 
G26 22752459.969 119564980.5162 -2283.490 32.000 
> 2019 11 25 12 24 56.9920000 0 21 
G9 18480917.677 97117888.725 -2370.587 48.000 
G2 19623710.869 103123308.730 -623.846 45.000 
G7 18906885.607 99356351.921 1065.165 49.000 
R18 19988081.637 106697640.351 -4398.419 47.000 
G5 20690806.324 108730967.117 2679.673 42.000 
R19 18822198.060 100686029.732 -1323.712 37.000 
G6 19686394.023 103452688.211 -3372.284 48.000 
R3 16999836.939 91001425.167 41.781 49.000 
G4 19028103.754 99993354.384 -2826.511 45.000 
G23 20568498.507 108088165.850 -3222.905 44.000 
R10 21138448.095 3 -4293.604 12.000 
R11 20985615.661 112140469.9432 -4139.060 32.000 
R2 18514868.102 98798799.329 -3140.259 46.000 
G30 20387010.091 107134455.233 2801.735 47.000 
R13 18791551.376 100345774.561 2958.377 41.000 
R20 21148446.832 3 2559.602 19.000 
G16 21640489.665 113721553.756 -594.038 29.000 
R12 18187146.615 97152382.161 -1103.200 48.000 
G29 22367563.012 117542356.519 -332.377 42.000 
G26 22752893.328 119567263.7702 -2283.709 33.000 
R26 20433508.037 108960377.158 1970.213 41.000 
> 2019 11 25 12 24 57.9920000 0 20 
G9 18481368.879 97120259.646 -2371.362 48.000 
G2 19623830.001 103123932.992 -624.797 45.000 
G7 18906682.905 99355287.240 1064.204 49.000 
R18 19988905.209 106702039.304 -4399.409 46.000 
G5 20690296.612 108728287.774 2678.801 42.000 
R19 18822445.461 100687354.007 -1325.242 37.000 
G6 19687035.920 103456060.899 -3373.060 48.000 
R3 16999828.440 91001383.827 40.843 49.000 
G4 19028641.814 99996181.070 -2827.079 45.000 
G23 20569111.891 108091388.994 -3223.484 44.000 
R10 21139253.240 3 -4293.604 11.000 
R11 20986392.876 112144609.7812 -4139.975 32.000 
R2 18515456.279 98801939.875 -3140.881 46.000 
G30 20386476.848 107131653.899 2801.016 47.000 
R13 18790997.524 100342816.570 2957.399 41.000 
R20 21147969.944 3 2554.598 18.000 
G16 21640603.911 113722148.280 -595.362 29.000 
R12 18187353.488 97153485.959 -1104.470 48.000 
G29 22367626.252 117542689.454 -333.434 42.000 
G26 22753327.280 119569547.7922 -2284.912 33.000 
> 2019 11 25 12 24 58.9920000 0 20 
G9 18481819.897 97122631.268 -2371.722 48.000 
G2 19623949.195 103124558.205 -625.544 45.000 
G7 18906480.387 99354223.427 1063.484 49.000 
R18 19989729.191 106706438.982 -4399.767 46.000 
G5 20689786.464 108725608.916 2678.803 42.000 
R19 18822692.948 100688679.545 -1326.103 37.000 
G6 19687677.748 103459434.376 -3373.679 48.000 
R3 16999820.317 91001343.283 40.322 49.000 
G4 19029179.664 99999008.375 -2827.419 45.000 
G23 20569725.432 108094612.630 -3223.655 44.000 
R10 21140060.007 3 -4293.604 13.000 
R11 20987161.838 112148749.9041 -4140.606 32.000 
R2 18516044.709 98805081.114 -3141.297 47.000 
G30 20385943.787 107128853.187 2800.629 47.000 
R13 18790444.020 100339859.490 2956.851 41.000 
R20 21147493.012 3 2550.445 18.000 
G16 21640718.943 113722743.833 -596.151 29.000 
R12 18187560.185 97154591.045 -1105.493 48.000 
G29 22367689.439 117543023.366 -334.255 42.000 
G26 22753761.913 119571832.6762 -2285.129 34.000 
> 2019 11 25 12 24 59.9920000 0 20 
G9 18482271.291 97125003.198 -2372.028 48.000 
G2 19624068.232 103125183.951 -625.847 45.000 
G7 18906278.130 99353160.072 1063.235 49.000 
R18 19990553.146 106710839.024 -4399.898 46.000 
G5 20689276.708 108722930.192 2678.979 42.000 
R19 18822940.838 100690005.932 -1326.796 37.000 
G6 19688320.186 103462808.218 -3373.664 48.000 
R3 16999811.863 91001303.131 40.249 48.000 
G4 19029718.108 100001835.913 -2827.407 45.000 
G23 20570339.575 108097836.370 -3223.582 45.000 
R10 21140869.296 3 -4296.916 16.000 
R11 20987937.430 112152890.834 -4140.623 33.000 
R2 18516633.270 98808222.583 -3141.345 47.000 
G30 20385410.700 107126052.693 2800.468 47.000 
R13 18789890.857 100336902.910 2956.399 41.000 
R20 21147019.256 3 2544.980 19.000 
G16 21640828.810 113723339.912 -595.904 29.000 
R12 18187766.866 97155696.973 -1106.192 48.000 
G29 22367752.967 117543357.844 -334.640 42.000 
G26 22754196.633 119574117.9822 -2285.242 34.000 
> 2019 11 25 12 25 0.9920000 0 20 
G9 18482722.248 97127375.108 -2372.052 48.000 
G2 19624187.225 103125809.938 -626.234 45.000 
